subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return,avg_hold_time,std_hold_time,avg_dd_time,std_dd_time,avg_ud_time,std_ud_time,typing_speed,rhythm_cv,overlap_ratio
s001,1,11,0.088294,0.184094,-0.011254,0.152194,0.144302,-0.001884,0.072126,0.134554,0.05734,0.091915,0.198123,0.074194,0.058381,0.279655,0.081841,0.213438,0.185108,0.032638,0.114726,0.157102,0.03427,0.166432,0.26837,0.102253,0.04506,0.098497,0.050796,0.191868,0.160951,-0.013525,0.174415,0.12444081818181818,0.05775707194762938,0.18107560000000003,0.05673496896819651,0.0406669,0.040195793211202806,6.074810742032609,0.3133219817301541,0.3
s001,1,12,0.149332,0.197455,-0.009518,0.120826,0.175275,-0.001984,0.10622,0.126705,0.062237,0.056671,0.186562,0.080355,0.049473,0.265676,0.089953,0.103507,0.210275,0.036986,0.156776,0.181235,0.035529,0.16446,0.238864,0.09849,0.059053,0.124314,0.04118,0.187902,0.156177,-0.016389,0.168415,0.12023954545454546,0.04930044739221671,0.1862538,0.04498300126047616,0.041683899999999996,0.04141378145403076,5.905919771838212,0.24151452934292278,0.3
s001,1,13,0.077983,0.11345,-0.010768,0.130382,0.135492,-0.002553,0.101675,0.137263,0.047105,0.054454,0.11936,0.093717,0.080619,0.287392,0.125064,0.154289,0.205727,0.048133,0.135007,0.205953,0.027529,0.177104,0.293575,0.104041,0.050174,0.111524,0.074161,0.206136,0.145555,-0.018889,0.106549,0.11585200000000001,0.05000471850735689,0.17552909999999997,0.06940766487683873,0.048754000000000006,0.050278682401192654,6.266767162823715,0.3954196821076501,0.3
s001,1,14,0.188897,0.16071,-0.010837,0.136871,0.075088,-0.003054,0.098919,0.153949,0.054659,0.078467,0.186949,0.077972,0.045481,0.221338,0.169067,0.199318,0.141993,0.031744,0.130169,0.124939,0.029474,0.165776,0.231387,0.147786,0.058606,0.107501,0.049107,0.148629,0.14172,-0.023305,0.153938,0.12773372727272725,0.05130966568803759,0.1545574,0.04851057076372347,0.0522613,0.06423649252229348,7.117096949094639,0.3138676480391556,0.3
s001,1,15,0.149421,0.076921,-0.010751,0.13286,0.141835,-0.001981,0.091597,0.114001,0.042136,0.087474,0.145,0.059725,0.097558,0.20834,0.132262,0.094687,0.228785,0.025212,0.132813,0.188158,0.020536,0.147134,0.317048,0.043302,0.052699,0.097128,0.052789,0.174701,0.126357,-0.020151,0.13603,0.11790672727272727,0.03559613657151829,0.1643573,0.07225952744571319,0.03430790000000001,0.04385597624155687,6.692735886997413,0.43964900280804786,0.3
s001,1,16,0.1378,0.143051,-0.008293,0.158579,0.145291,-0.0033,0.078643,0.188681,0.062685,0.072014,0.211475,0.075915,0.058327,0.281176,0.107843,0.103473,0.232187,0.032881,0.135325,0.147535,0.025028,0.132129,0.215557,0.09135,0.057474,0.098849,0.048221,0.091327,0.179764,-0.015925,0.15722,0.10748281818181817,0.03830195499923779,0.18435659999999998,0.05303045450849707,0.0416405,0.04306869765141371,5.966697151064839,0.28765149515657223,0.3
s001,1,17,0.15454,0.144515,-0.012262,0.118272,0.142177,-0.002614,0.109664,0.16986,0.061728,0.067145,0.144461,0.064081,0.070553,0.104613,0.138264,0.154199,0.138847,0.038696,0.103105,0.166751,0.043531,0.099949,0.238097,0.090759,0.055207,0.134843,0.069281,0.20253,0.136694,-0.007657,0.105337,0.11277281818181818,0.04364438810618882,0.15208580000000002,0.0351278773935713,0.04838069999999999,0.04745984691657195,7.232759402915985,0.2309740625609404,0.3
s001,1,18,0.118392,0.141769,-0.010287,0.144179,0.16832,-0.002821,0.080417,0.114646,0.057683,0.073863,0.152125,0.093871,0.08029,0.127356,0.167554,0.155352,0.232427,0.030783,0.165185,0.137914,0.012834,0.174267,0.205286,0.063599,0.06264,0.112202,0.065669,0.206632,0.161746,-0.021083,0.168668,0.12998954545454547,0.049154889814470415,0.1553791,0.03865039472401572,0.0457802,0.05704091828737215,7.079459206547084,0.24874897741411778,0.3
s001,1,19,0.152487,0.152324,-0.012628,0.121628,0.141706,-0.001954,0.093334,0.131518,0.045058,0.084811,0.128014,0.067648,0.086413,0.238762,0.142235,0.190052,0.245274,0.029314,0.121212,0.141694,0.032389,0.172089,0.310538,0.123552,0.042815,0.123985,0.041676,0.158905,0.164039,-0.014123,0.132409,0.12328681818181818,0.04389051217249163,0.1777854,0.06398785991316373,0.0453167,0.05330658155122853,6.187234722311281,0.3599162603565936,0.3
s001,1,20,0.081613,0.142055,-0.004086,0.126642,0.130211,-0.001614,0.08764,0.134879,0.055967,0.082483,0.126504,0.057539,0.091274,0.229451,0.158235,0.161033,0.226122,0.051843,0.145415,0.140612,0.025672,0.174809,0.217596,0.119931,0.034534,0.112412,0.063183,0.219459,0.133783,-0.023583,0.151808,0.12333727272727271,0.05311965654273549,0.15936250000000002,0.04570326151563657,0.0503087,0.05624297155309472,6.902502157031924,0.28678803763593186,0.3
s001,1,21,0.11575,0.13334,-0.01052,0.098306,0.14904,-0.002845,0.09507,0.083465,0.03884,0.086521,0.137138,0.080224,0.066954,0.228357,0.130437,0.168593,0.166928,0.037764,0.129163,0.163309,0.042222,0.114014,0.310665,0.03861,0.037449,0.089514,0.040157,0.183242,0.167687,-0.018535,0.15522,0.11366199999999999,0.04374789696431133,0.1629443,0.06631859128320573,0.0376354,0.044182019711894366,6.750773116948553,0.4070015779207371,0.3
s001,1,22,0.162807,0.159313,-0.013724,0.122604,0.127316,-0.002437,0.066982,0.127247,0.05113,0.068013,0.139349,0.085299,0.065265,0.242964,0.117008,0.152812,0.187875,0.038818,0.108161,0.16574,0.028036,0.190869,0.197565,0.084975,0.051173,0.079792,0.077676,0.134161,0.13385,-0.012181,0.105864,0.11170100000000001,0.04579062146771978,0.15610110000000002,0.045506028822685805,0.04546,0.0457101767078915,7.046715237752968,0.2915163692473795,0.3
s001,1,23,0.169314,0.099919,-0.007477,0.076711,0.085463,-0.003091,0.093423,0.1287,0.046838,0.099091,0.22937,0.096353,0.058914,0.203755,0.108601,0.167063,0.134861,0.036839,0.183108,0.18049,0.023616,0.159623,0.321615,0.136564,0.050374,0.129181,0.053157,0.203717,0.170555,-0.027091,0.149121,0.12822354545454545,0.053766916772981566,0.16839089999999998,0.07023788330373353,0.04643090000000001,0.053648230289648054,6.532419507229904,0.4171120834475776,0.3
s001,1,24,0.153437,0.099355,-0.009093,0.093105,0.1092,-0.001894,0.065298,0.143785,0.030198,0.110235,0.152578,0.085233,0.069254,0.247535,0.100353,0.163712,0.171613,0.019913,0.157198,0.147817,0.027973,0.149935,0.229302,0.145932,0.061879,0.082325,0.050067,0.193296,0.175113,-0.021904,0.188449,0.12779981818181818,0.04945820454650206,0.15586230000000004,0.05314080018853478,0.0426778,0.053313836525489953,7.057511662538021,0.340947084568006,0.3
s001,1,25,0.097606,0.167533,-0.013707,0.126048,0.155505,-0.002669,0.091072,0.144899,0.065874,0.09479,0.14792,0.095595,0.047262,0.219131,0.183915,0.168106,0.213461,0.031061,0.160809,0.156117,0.023639,0.16966,0.178773,0.111798,0.049908,0.146571,0.051844,0.180909,0.171441,-0.02531,0.139806,0.12054327272727274,0.04770614485386743,0.1701351,0.026785167157506326,0.05220400000000001,0.06463205401690747,6.465450104064358,0.15743468327910873,0.3
s001,1,26,0.177489,0.160226,-0.009817,0.097536,0.143598,-0.002293,0.079406,0.159974,0.042757,0.070963,0.084519,0.101125,0.070992,0.149819,0.091795,0.136337,0.226599,0.030404,0.111611,0.127844,0.020054,0.090943,0.188109,0.075402,0.070658,0.113866,0.044645,0.254766,0.138512,-0.012782,0.20974,0.12458554545454546,0.06313791146904311,0.1493066,0.03912409680945434,0.038129,0.04111333510621044,7.367390322999787,0.2620386117497031,0.3
s001,1,27,0.103097,0.139237,-0.01176,0.116588,0.142849,-0.00314,0.071176,0.125279,0.046396,0.060903,0.186933,0.103606,0.071376,0.205531,0.129449,0.141671,0.285797,0.039754,0.110712,0.163604,0.024269,0.16121,0.270769,0.125289,0.052217,0.119993,0.032875,0.133623,0.185865,-0.02135,0.133947,0.10513818181818181,0.03651996466268329,0.18258570000000002,0.05774015594415688,0.046538800000000005,0.05531393266478569,6.0245681890750475,0.3162358978923207,0.3
s001,1,28,0.147549,0.155651,-0.013079,0.043434,0.107416,-0.00198,0.083894,0.162485,0.037495,0.053843,0.176526,0.088022,0.070885,0.261425,0.169731,0.176684,0.223621,0.036466,0.153899,0.189376,0.035866,0.126795,0.267797,0.091619,0.052421,0.101999,0.061485,0.190529,0.171069,-0.018417,0.159939,0.1145338181818182,0.054708389824264035,0.1817365,0.056414107818385684,0.048720799999999995,0.057280933779244744,6.052719184093454,0.3104170307792622,0.3
s001,1,29,0.171062,0.0979,-0.010444,0.134074,0.147769,-0.003602,0.101355,0.134799,0.053907,0.072607,0.178882,0.08432,0.082534,0.160076,0.160932,0.176775,0.189497,0.029616,0.122851,0.163907,0.015407,0.171851,0.222443,0.103154,0.066863,0.105708,0.053502,0.107205,0.181216,-0.013134,0.107469,0.11951327272727275,0.03983034872328111,0.1582197,0.038221786411097476,0.0473658,0.05616641335017059,6.952358018628528,0.24157411495127554,0.3
s001,1,30,0.136214,0.104762,-0.010935,0.148255,0.153585,-0.002033,0.098557,0.123925,0.037317,0.076954,0.181856,0.05974,0.088351,0.259927,0.147273,0.141442,0.171222,0.033232,0.126249,0.187604,0.024389,0.159025,0.243745,0.10644,0.05968,0.133653,0.064387,0.191944,0.177404,-0.021324,0.169785,0.12695054545454545,0.04142341757355044,0.17376830000000001,0.049283112343208736,0.043848599999999995,0.05289038371155532,6.330268524236009,0.2836139244446167,0.3
s001,1,31,0.183343,0.150274,-0.013006,0.130527,0.138365,-0.003226,0.058106,0.121589,0.042084,0.078474,0.112404,0.09428,0.058763,0.264104,0.144759,0.163079,0.190002,0.027475,0.194981,0.143429,0.032755,0.11439,0.262678,0.111284,0.062156,0.104684,0.051815,0.162628,0.232299,-0.017595,0.175993,0.1256763636363636,0.05374167915551714,0.1719828,0.06120068561852701,0.04706249999999999,0.05462192899325732,6.395988436052908,0.3558535043038721,0.3
s001,1,32,0.198498,0.11411,-0.010412,0.124958,0.126904,-0.002859,0.0676,0.134345,0.038307,0.093678,0.181545,0.073884,0.061208,0.233362,0.126113,0.221075,0.210103,0.035642,0.149422,0.140875,0.033155,0.148112,0.289966,0.095611,0.078291,0.126712,0.083004,0.163775,0.165078,-0.021677,0.14354,0.13183245454545453,0.05255822018364708,0.1723,0.05685635000986649,0.0450768,0.04887488672518843,6.3842135809634355,0.32998460075461683,0.3
s001,1,33,0.165395,0.167142,-0.003306,0.129338,0.10585,-0.002267,0.061599,0.143543,0.044884,0.081897,0.196147,0.081261,0.078974,0.258871,0.088015,0.135422,0.137427,0.047788,0.129404,0.212964,0.016491,0.128928,0.282902,0.104346,0.068856,0.089216,0.07273,0.202713,0.171106,-0.020277,0.169803,0.12293899999999999,0.04576243855172056,0.17651679999999997,0.0625046149954812,0.042966500000000005,0.043543050057130564,6.231701458444749,0.3541000712367349,0.3
s001,1,34,0.139488,0.09364,-0.010626,0.127812,0.155451,-0.004163,0.082258,0.100655,0.054525,0.084363,0.159375,0.098956,0.050882,0.268883,0.129346,0.114769,0.186241,0.016851,0.138552,0.150655,0.034041,0.163028,0.179394,0.080779,0.06871,0.13681,0.070762,0.217571,0.156082,-0.016037,0.199816,0.12611354545454545,0.0531467202870763,0.1587186,0.04886582951352043,0.045443399999999995,0.04967372256636299,6.930504679350751,0.3078771261512461,0.3
s001,1,35,0.139151,0.147321,-0.011297,0.117805,0.130248,-0.003182,0.076709,0.103663,0.048548,0.085486,0.143705,0.083574,0.068742,0.240918,0.149882,0.198156,0.117017,0.054856,0.109923,0.170894,0.020743,0.162898,0.258167,0.085126,0.075354,0.113906,0.062151,0.145176,0.157876,-0.009399,0.189479,0.12444354545454545,0.046207861463962246,0.1583715,0.052428439447922186,0.0481002,0.051038729629348904,6.945694143201271,0.3310471652882655,0.3
s001,1,36,0.156541,0.125411,-0.01034,0.136805,0.140211,-0.003428,0.088824,0.1023,0.069922,0.066995,0.171346,0.10277,0.063691,0.23614,0.205959,0.181696,0.210013,0.019949,0.108331,0.190549,0.029978,0.165053,0.275107,0.130063,0.059303,0.12035,0.042055,0.132921,0.108539,-0.021085,0.20763,0.12434454545454546,0.050857283742574456,0.1679966,0.05879190106960122,0.0565843,0.0717998241162346,6.547751561638747,0.34995885375068714,0.3
s001,1,37,0.103587,0.129255,-0.013643,0.116536,0.133263,-0.003189,0.095209,0.167725,0.024382,0.068339,0.163932,0.105101,0.061088,0.220752,0.113309,0.115499,0.251271,0.018898,0.191327,0.180721,0.030651,0.160978,0.233181,0.109275,0.060175,0.13015,0.054743,0.144049,0.13219,-0.021486,0.189724,0.11877372727272727,0.04777524320626931,0.174244,0.04616008524688836,0.0418041,0.05152797846574875,6.312986386905719,0.2649163391435284,0.3
s001,1,38,0.13021,0.086723,-0.00954,0.170235,0.14826,-0.003128,0.054642,0.126123,0.04891,0.064001,0.179289,0.118989,0.069812,0.228452,0.121155,0.20799,0.193708,0.0283,0.133705,0.172988,0.027341,0.178581,0.263237,0.093619,0.067273,0.128939,0.038641,0.21536,0.149616,-0.018618,0.182966,0.13407045454545455,0.06129977177993999,0.16773349999999998,0.0518009843476829,0.0445669,0.05122988355431709,6.55802210053448,0.3088290726622421,0.3
s001,1,39,0.169053,0.11875,-0.008555,0.117564,0.174271,-0.003271,0.082323,0.10997,0.076865,0.05993,0.178456,0.06923,0.062379,0.240961,0.198431,0.215123,0.138368,0.034694,0.169216,0.1071,0.028413,0.144857,0.264681,0.08231,0.04518,0.07428,0.067624,0.213819,0.16808,-0.019665,0.109868,0.12630109090909092,0.06075746487544481,0.15749169999999998,0.06044123555073969,0.0526076,0.06344709123916643,6.984495055929932,0.38377407643068767,0.3
s001,1,40,0.16382,0.108175,-0.012231,0.116901,0.124136,-0.003227,0.0792,0.113965,0.05901,0.094318,0.165474,0.092313,0.094253,0.171553,0.110566,0.185818,0.270244,0.030705,0.176017,0.161519,0.02232,0.117263,0.274825,0.079006,0.063425,0.153493,0.051261,0.22095,0.121668,-0.019664,0.116515,0.1298618181818182,0.04972753988449093,0.16650520000000002,0.060262434729366106,0.0410059,0.04505696819324029,6.606400280591837,0.36192521981363884,0.3
s001,1,41,0.149863,0.157907,-0.010321,0.162938,0.110424,-0.002602,0.070698,0.138491,0.05669,0.087517,0.128663,0.066245,0.057864,0.211407,0.157774,0.186231,0.164446,0.020582,0.186928,0.124016,0.031608,0.145788,0.256974,0.100159,0.057818,0.128131,0.04958,0.215933,0.176209,-0.015078,0.144222,0.13325454545454546,0.05597949915882356,0.1596668,0.045393723491249316,0.045463699999999996,0.05382960422801235,6.8893470652634115,0.28430281466291785,0.3
s001,1,42,0.141057,0.105871,-0.011361,0.105478,0.161682,-0.002713,0.081277,0.123857,0.053097,0.116049,0.152716,0.070859,0.073775,0.113799,0.156943,0.152148,0.158986,0.036506,0.133459,0.103524,0.02253,0.064299,0.258955,0.106755,0.052906,0.129856,0.038818,0.1435,0.171582,-0.02029,0.157905,0.11107754545454544,0.037733657639734935,0.1480828,0.045985443312228945,0.0451144,0.05518673002774811,7.428276612813913,0.31053870001676054,0.3
s001,1,43,0.131741,0.126415,-0.011395,0.11385,0.136563,-0.003144,0.078931,0.111299,0.032771,0.09252,0.17768,0.12751,0.053484,0.212684,0.150064,0.19511,0.177355,0.023829,0.162813,0.148902,0.031868,0.16619,0.243699,0.096158,0.057738,0.117276,0.066179,0.149276,0.16215,-0.022029,0.129231,0.12098945454545454,0.04632270407125136,0.1614023,0.04265807374942182,0.04918109999999999,0.05915944175315083,6.815268431738581,0.26429655033699223,0.3
s001,1,44,0.146904,0.085452,-0.005501,0.101506,0.128049,-0.002004,0.065614,0.072049,0.045556,0.065431,0.09102,0.088887,0.069616,0.27036,0.114593,0.113405,0.181155,0.032005,0.155525,0.201656,0.033924,0.152634,0.282854,0.085362,0.064473,0.090632,0.055972,0.179335,0.2115,-0.01843,0.162606,0.11609536363636365,0.044902075925891724,0.1614727,0.0788596233499755,0.0430364,0.04416524758776847,6.812297063218736,0.4883774066216855,0.3
s001,1,45,0.15453,0.125255,-0.012452,0.164759,0.104665,-0.003588,0.089004,0.158344,0.04548,0.072081,0.170906,0.069751,0.056866,0.259146,0.17636,0.205267,0.149133,0.028878,0.139239,0.130303,0.030417,0.179097,0.21757,0.101088,0.079955,0.158382,0.064683,0.196478,0.132705,-0.01605,0.176976,0.1376592727272727,0.0537029155374099,0.16064090000000003,0.04628249675981431,0.0484567,0.05882488117388952,6.8475711976215266,0.28811152003443147,0.3
s001,1,46,0.141797,0.121554,-0.013615,0.08768,0.080631,-0.002378,0.080932,0.117407,0.046888,0.08188,0.156948,0.057556,0.078718,0.234583,0.164162,0.190318,0.16575,0.041837,0.128522,0.185713,0.030985,0.115921,0.268852,0.107751,0.062812,0.115482,0.054078,0.203924,0.176499,-0.01738,0.113905,0.11694627272727272,0.04635245236034639,0.16234189999999998,0.05764434872647968,0.0469884,0.055896176540280666,6.775823123913174,0.3550798972765547,0.3
s001,1,47,0.161859,0.156414,-0.004919,0.159089,0.081841,-0.002696,0.106148,0.145021,0.054635,0.092335,0.142656,0.092611,0.063716,0.220765,0.184271,0.134629,0.245313,0.029479,0.138717,0.115799,0.030895,0.18529,0.220814,0.074484,0.065791,0.150578,0.036684,0.138753,0.144927,-0.020822,0.134677,0.12554581818181815,0.0392425156477466,0.16241280000000002,0.05112880360162297,0.047462199999999996,0.059789531727366604,6.772865192891199,0.31480770267827374,0.3
s001,1,48,0.088177,0.152856,-0.009682,0.088667,0.165264,-0.001679,0.067312,0.158562,0.044053,0.081435,0.135994,0.126075,0.063129,0.227,0.130066,0.222633,0.267975,0.044988,0.156418,0.139491,0.031557,0.144719,0.307069,0.126037,0.054638,0.139093,0.06387,0.08213,0.183321,-0.019251,0.132557,0.10743772727272728,0.051079326873189924,0.1876625,0.05979915031586988,0.0536034,0.05722384866314238,5.8615866249250645,0.3186526190866246,0.3
s001,1,49,0.123782,0.133705,-0.009338,0.09713,0.133764,-0.002379,0.106912,0.102622,0.046675,0.082656,0.197907,0.077531,0.082401,0.138912,0.109855,0.174886,0.143143,0.023803,0.118658,0.182135,0.014881,0.149669,0.293876,0.09568,0.058011,0.126722,0.052723,0.223547,0.124822,-0.017713,0.166166,0.12580163636363637,0.048720721343741884,0.1577608,0.055322600213655905,0.0391718,0.04477405723506514,6.972581274942824,0.3506739107998742,0.3
s001,1,50,0.137012,0.061361,-0.010894,0.15464,0.148385,-0.00252,0.062053,0.139329,0.044048,0.084048,0.165879,0.064576,0.055438,0.236756,0.146753,0.137358,0.161617,0.030378,0.171979,0.142506,0.026402,0.147752,0.191714,0.059371,0.050099,0.123217,0.056287,0.200179,0.16178,-0.017947,0.14124,0.12198163636363636,0.05079768158345955,0.15325439999999999,0.0452566210998764,0.0396454,0.04794592627858086,7.177607951223587,0.29530387477839243,0.3
s001,2,1,0.172965,0.112977,-0.0132,0.146185,0.09591,-0.001213,0.079906,0.138147,0.04129,0.073912,0.148763,0.072951,0.075107,0.202414,0.191029,0.247943,0.185364,0.033822,0.141739,0.213901,0.025982,0.121776,0.185326,0.098852,0.057054,0.163156,0.077742,0.141196,0.137078,-0.017205,0.202848,0.13278463636363635,0.05963258611241463,0.1583036,0.0386122016788591,0.051005,0.06290198986606951,6.948673308756087,0.24391232568138593,0.3
s001,2,2,0.149408,0.120167,-0.010647,0.115837,0.14402,-0.003195,0.070957,0.158447,0.041761,0.056772,0.165051,0.076447,0.07354,0.235153,0.153516,0.161954,0.168695,0.033301,0.154506,0.128842,0.026455,0.173899,0.268971,0.130519,0.055614,0.076145,0.057732,0.188638,0.200681,-0.012697,0.176358,0.1252257272727273,0.051992459590003835,0.1666172,0.05645820515665647,0.049319199999999994,0.05705090276196824,6.601959461568193,0.33884978122401926,0.3
s001,2,3,0.169571,0.132209,-0.013464,0.134779,0.153467,-0.002329,0.091331,0.118805,0.047662,0.086017,0.145024,0.073455,0.070788,0.25408,0.147525,0.127165,0.168697,0.03421,0.136958,0.165941,0.02968,0.145078,0.257623,0.099152,0.076264,0.150069,0.040011,0.167656,0.159822,-0.018584,0.21503,0.1291488181818182,0.04509547656432557,0.1705737,0.04738633572162149,0.0437318,0.05198452750536024,6.448825346463142,0.27780562269309556,0.3
s001,2,4,0.15416,0.115986,-0.009056,0.138669,0.136606,-0.001598,0.08401,0.121899,0.027831,0.076184,0.202857,0.081638,0.038062,0.200331,0.190142,0.181109,0.164757,0.028403,0.121637,0.138333,0.014062,0.166229,0.304456,0.065031,0.077408,0.115286,0.070796,0.177613,0.162967,-0.015997,0.135512,0.12278118181818183,0.04754721730410346,0.16634780000000002,0.05808454829298408,0.045125200000000004,0.06129755713602659,6.61265132451406,0.3491753110124147,0.3
s001,2,5,0.181791,0.10763,-0.01148,0.145098,0.116389,-0.002252,0.099547,0.154722,0.028055,0.080598,0.1942,0.058015,0.076276,0.250091,0.11133,0.190213,0.206876,0.037583,0.107502,0.163159,0.016051,0.081361,0.251759,0.125682,0.065489,0.116183,0.052781,0.144314,0.152034,-0.015798,0.146436,0.119875,0.04378471868814507,0.17130430000000002,0.05301046980875047,0.0399967,0.048520541267590984,6.4213215897090725,0.3094520494478537,0.3
s001,2,6,0.16915,0.142463,-0.009734,0.154348,0.115953,-0.002327,0.072835,0.137938,0.043199,0.064887,0.164954,0.047058,0.063125,0.153039,0.182512,0.197027,0.163846,0.035906,0.15496,0.186137,0.027801,0.165411,0.214455,0.10212,0.056829,0.100996,0.055633,0.188127,0.194412,-0.016431,0.179596,0.13329954545454545,0.056167305487024456,0.1574193,0.03507096488882696,0.046573699999999996,0.05930706231517083,6.987707352275102,0.22278693057939944,0.3
